wp,x,y,yaw_imu
wp1,13588572.04,8085216.379,-0.25999999
wp2,13588570.95,8085216.737,-0.500513654
wp3,13588569.86,8085217.091,-0.733863082
wp4,13588568.76,8085217.442,-0.90435697
wp5,13588567.67,8085217.789,-1.025709464
wp6,13588566.57,8085218.132,-1.340254168
wp7,13588565.48,8085218.473,-1.536351973
wp8,13588564.38,8085218.81,-1.655330587
wp9,13588563.28,8085219.145,-1.766751383
wp10,13588562.18,8085219.477,-1.906793612
wp11,13588561.08,8085219.807,-2.009180409
wp12,13588559.97,8085220.135,-2.043681035
wp13,13588558.87,8085220.461,-2.039480982
wp14,13588557.77,8085220.786,-1.995015398
wp15,13588556.66,8085221.11,-1.918953666
wp16,13588555.56,8085221.432,-1.863300608
wp17,13588554.45,8085221.753,-1.831520513
wp18,13588553.34,8085222.074,-1.779334297
wp19,13588552.24,8085222.395,-1.668207992
wp20,13588551.13,8085222.715,-1.517245696
wp21,13588550.03,8085223.035,-1.365348968
wp22,13588548.92,8085223.356,-1.237007936
wp23,13588547.81,8085223.677,-1.150661342
wp24,13588546.71,8085223.999,-1.095228138
wp25,13588545.6,8085224.322,-1.047857125
wp26,13588544.5,8085224.646,-0.988764036
wp27,13588543.39,8085224.972,-0.901617944
wp28,13588542.29,8085225.299,-0.777626741
wp29,13588541.19,8085225.629,-0.648601892
wp30,13588540.08,8085225.96,-0.547216383
wp31,13588538.98,8085226.294,-0.466892839
wp32,13588537.88,8085226.63,-0.392236138
wp33,13588536.78,8085226.969,-0.302632234
wp34,13588535.68,8085227.311,-0.176738237
wp35,13588534.58,8085227.657,-0.011777443
wp36,13588533.49,8085228.006,0.16959013
wp37,13588532.39,8085228.358,0.344245283
wp38,13588531.3,8085228.715,0.500098847
wp39,13588530.21,8085229.075,0.63079838
wp40,13588529.12,8085229.438,0.746135868
wp41,13588528.03,8085229.805,0.876090453
wp42,13588526.94,8085230.175,1.049176606
wp43,13588525.85,8085230.549,1.240455002
wp44,13588524.76,8085230.925,1.378738064
wp45,13588523.68,8085231.305,1.445227938
wp46,13588522.59,8085231.687,1.475241528
wp47,13588521.51,8085232.072,1.505344784
wp48,13588520.43,8085232.46,1.538840816
wp49,13588519.35,8085232.851,1.5406385
wp50,13588518.27,8085233.243,1.482913552
wp51,13588517.19,8085233.639,1.378179005
wp52,13588516.11,8085234.036,1.248951619
wp53,13588515.03,8085234.436,1.101781506
wp54,13588513.95,8085234.838,0.928747552
wp55,13588512.88,8085235.242,0.737485826
wp56,13588511.8,8085235.647,0.569269118
wp57,13588510.72,8085236.054,0.452926369
wp58,13588509.65,8085236.463,0.363906853
wp59,13588508.58,8085236.874,0.268488402
wp60,13588507.5,8085237.286,0.165112816
wp61,13588506.43,8085237.699,0.083132432
wp62,13588505.36,8085238.114,0.043966414
wp63,13588504.28,8085238.529,0.051186283
wp64,13588503.21,8085238.946,0.10030446
wp65,13588502.14,8085239.364,0.165484107
wp66,13588501.07,8085239.782,0.216710563
wp67,13588500,8085240.201,0.246938496
wp68,13588498.93,8085240.621,0.279550507
wp69,13588497.86,8085241.042,0.328275967
wp70,13588496.78,8085241.462,0.383712552
wp71,13588495.71,8085241.883,0.433873841
wp72,13588494.64,8085242.304,0.475541535
wp73,13588493.57,8085242.726,0.520333586
wp74,13588492.5,8085243.147,0.575741472
wp75,13588491.43,8085243.568,0.627450638
wp76,13588490.36,8085243.989,0.657582289
wp77,13588489.29,8085244.41,0.66797566
wp78,13588488.22,8085244.83,0.672740216
wp79,13588487.15,8085245.25,0.686036728
wp80,13588486.08,8085245.669,0.713409573
wp81,13588485.01,8085246.088,0.746699888
wp82,13588483.93,8085246.505,0.7770362
wp83,13588482.86,8085246.922,0.803577362
wp84,13588481.79,8085247.337,0.831275139
wp85,13588480.72,8085247.752,0.860055286
wp86,13588479.64,8085248.165,0.88723499
wp87,13588478.57,8085248.578,0.910709719
